lat,long,route id
14.5504088,121.0073898,0-A
14.5546187,121.024618,0-A
14.5616096,121.0179325,0-A
14.5680532,121.0136459,0-A
14.5553145,121.0151733,0-A
14.5716357,121.0272199,0-A
14.5629589,121.0365204,0-A
14.5645855,121.0402304,0-A
14.563164001073353,121.02911234161233,0-A
14.5610401,121.0017359,1-A
14.5574835,121.0068485,1-A
14.5457292,121.0158755,1-A
14.5585268,121.0264204,1-A
14.5508295,121.0243316,1-A
14.5563615,121.0215988,1-A
14.550998816801226,121.0288160788746,1-A
14.5575425,121.0100253,1-A
14.5600956,121.0117409,1-A
14.555409064570554,121.01116244948338,1-A
14.54485642318909,121.0292289570255,2-A
14.5569203,121.0186437,2-A
14.5585268,121.0264204,2-A
14.5645806,121.015653,2-A
14.5749506,121.0121073,2-A
14.5622127,121.005867,2-A
14.5645596,121.0143713,2-A
14.5472811,121.0109527,2-A
14.5563072,121.0083454,2-A
14.5633165,121.0363478,3-A
14.56140234742906,121.01570426610145,3-A
14.5604891,121.0207997,3-A
14.5606152,121.0133142,3-A
14.5637126,121.0010396,3-A
14.5580668,121.008318,3-A
14.5471393,121.0255181,3-A
14.5500238,121.025577,3-A
14.5691659,121.0260467,4-A
14.5604891,121.0207997,4-A
14.5563615,121.0215988,4-A
14.5540097,121.0252611,4-A
14.5689398,121.0268148,4-A
14.5618011,121.0265561,4-A
14.553648681945145,121.02601386314991,4-A
14.550998816801226,121.0288160788746,4-A
14.5509052,121.024414,4-A
14.5510704,121.0272707,4-A
14.5566973,121.0189874,4-A
14.5640153,121.0081536,4-A
14.5553145,121.0151733,5-A
14.5549238,121.0027205,5-A
14.55863659268026,121.02711097248138,5-A
14.5691659,121.0260467,5-A
14.5618011,121.0265561,5-A
14.557316,121.0230451,5-A
14.5529924,121.019304,5-A
14.551575351717707,121.02827018093802,5-A
14.5590318,121.0464366,6-A
14.5630494,121.0388298,6-A
14.5517476,121.0193275,6-A
14.557191,121.0182336,6-A
14.5501374,121.0095777,6-A
14.5569203,121.0186437,6-A
14.5665674,121.0050729,6-A
14.56929111820428,121.00643786058714,6-A
14.5575425,121.0100253,7-A
14.5553965,121.0246679,7-A
14.5614874,121.0155317,7-A
14.554898,121.0166323,7-A
14.5510704,121.0272707,7-A
14.558656387812558,121.027393928601,7-A
14.560915,121.0172213,7-A
14.5647878,121.0151982,7-A
14.572348353877814,121.01580641724304,7-A
14.5621042,121.0122947,7-A
14.5671351,121.0150551,7-A
14.5749506,121.0121073,7-A
14.563008,121.0286369,8-A
14.55115552089143,121.02250440810673,8-A
14.5617478,121.0153686,8-A
14.5643738,121.0309857,8-A
14.5596091,121.0113076,8-A
14.5645806,121.015653,8-A
14.5584383,121.0184779,8-A
14.5546187,121.024618,8-A
14.560725520151474,121.00578812131602,8-A
14.5716357,121.0272199,9-A
14.5515388,121.0224237,9-A
14.5517476,121.0193275,9-A
14.5630664,121.0222345,9-A
14.5501123,121.0255849,9-A
14.55519525026632,121.00354333280158,9-A
14.5489926,121.0106625,9-A
14.5574835,121.0068485,9-A
14.543373154034558,121.01192284495575,10-A
14.5557441,121.0048965,10-A
14.560452,121.0157318,10-A
14.5524571,121.0272054,10-A
14.554311271439522,121.0176210644074,10-A
14.5580668,121.008318,10-A
14.557929404115317,121.0112202671159,10-A
14.5630494,121.0388298,10-A
14.5563615,121.0215988,10-A
14.5637126,121.0010396,11-A
14.5524571,121.0272054,11-A
14.551522519254418,121.02269370418757,11-A
14.5665674,121.0050729,11-A
14.5606152,121.0133142,11-A
14.5643738,121.0309857,11-A
14.5611036,121.0156145,11-A
14.5509752,121.0103472,12-A
14.572348353877814,121.01580641724304,12-A
14.5515784,121.0125,12-A
14.570405328733397,121.01678983021577,12-A
14.554127151759753,121.00641098623755,12-A
14.5489926,121.0106625,12-A
14.5501123,121.0255849,13-A
14.5627464,121.0048746,13-A
14.5591718,121.003212,13-A
14.5680532,121.0136459,13-A
14.557212795140577,121.00905071682122,13-A
14.554127,121.0195192,13-A
14.5614874,121.0155317,13-A
14.558294378011702,121.01246434680542,13-A
14.5541561,121.009361,13-A
14.5479932,121.0140775,14-A
14.5566637,121.0215006,14-A
14.568589883029965,121.01826238778757,14-A
14.5457292,121.0158755,14-A
14.561165,121.0144856,14-A
14.558766128441965,121.01246455418944,14-A
14.565268,121.0272892,14-A
14.5645855,121.0402304,14-A
14.5544204,121.0196145,15-A
14.5563072,121.0083454,15-A
14.5689398,121.0268148,15-A
14.5613805,121.0218436,15-A
14.5621042,121.0122947,15-A
14.568589883029965,121.01826238778757,15-A
14.554311271439522,121.0176210644074,15-A
14.561165,121.0144856,16-A
14.570405328733397,121.01678983021577,16-A
14.5597792,121.0118349,16-A
14.554903010939292,121.01990691547319,16-A
14.5630664,121.0222345,16-A
14.5515784,121.0125,16-A
14.543373154034558,121.01192284495575,16-A
14.557120153395271,121.03307142062974,16-A
14.5504304,121.007652,17-A
14.5591718,121.003212,17-A
14.5671351,121.0150551,17-A
14.5529924,121.019304,17-A
14.560915,121.0172213,17-A
14.5665911,121.015297,17-A
14.5557441,121.0048965,17-A
14.5613805,121.0218436,17-A
14.5472811,121.0109527,18-A
14.5479932,121.0140775,18-A
14.5440454,121.011494,18-A
14.5596091,121.0113076,18-A
14.5613702,121.01631,18-A
14.5698486,121.0069961,18-A
14.5584383,121.0184779,18-A
14.541521473482982,121.02253524140998,18-A
14.5563805,121.0027461,19-A
14.5600306,121.0161275,19-A
14.563008,121.0286369,19-A
14.549470319508313,121.00959129174673,19-A
14.555409064570554,121.01116244948338,19-A
14.547048198591227,121.00997186762058,19-A
14.5521922,121.0231685,19-A
14.563397533614662,121.02876634030389,19-A
14.5515639,121.0210101,20-A
14.5629589,121.0365204,20-A
14.5566637,121.0215006,20-A
14.5654584,121.0141007,20-A
14.5553965,121.0246679,20-A
14.5617478,121.0153686,20-A
14.55115552089143,121.02250440810673,20-A
14.5501374,121.0095777,20-A
14.5440454,121.011494,21-A
14.5544204,121.0196145,21-A
14.557316,121.0230451,21-A
14.561508,121.01626,21-A
14.5542336,121.0179571,21-A
14.551522519254418,121.02269370418757,21-A
14.5611606,121.0197294,21-A
14.5344553,121.0162686,21-A
14.5665911,121.015297,22-A
14.5640153,121.0081536,22-A
14.565268,121.0272892,22-A
14.5653503,121.0132985,22-A
14.5533945,121.026114,22-A
14.5395213,121.0137228,22-A
14.5504088,121.0073898,22-A
14.553110350813231,121.00666897899423,22-A
14.5608595,121.0139351,23-A
14.55660380661846,121.02128755127626,23-A
14.5540097,121.0252611,23-A
14.54485642318909,121.0292289570255,23-A
14.5471393,121.0255181,23-A
14.5600306,121.0161275,23-A
14.557929404115317,121.0112202671159,23-A
14.5504304,121.007652,23-A
14.554127151759753,121.00641098623755,23-A
14.5622127,121.005867,23-A
14.5553926,121.0018278,23-A
14.5563805,121.0027461,24-A
14.558294378011702,121.01246434680542,24-A
14.568765213071082,121.0273690905108,24-A
14.549470319508313,121.00959129174673,24-A
14.5395213,121.0137228,24-A
14.547048198591227,121.00997186762058,24-A
14.5521922,121.0231685,24-A
14.563397533614662,121.02876634030389,24-A
