lat,long,route id
14.580729752342059,121.03313854528686,0-A
14.589911846708295,121.03476556376354,0-A
14.569807,121.0319437,0-A
14.592139222348782,121.03009619212038,0-A
14.58684981695052,121.05649968410415,0-A
14.5948571,121.0560974,0-A
14.5683288,121.0334453,1-A
14.5687934,121.0398477,1-A
14.569807,121.0319437,1-A
14.576252815488319,121.03388895628501,1-A
14.5715834,121.0413973,1-A
14.5697887,121.0319634,1-A
14.5708455,121.0517138,1-A
14.592139222348782,121.03009619212038,1-A
14.589911846708295,121.03476556376354,1-A
14.5831364,121.0369289,1-A
14.5683288,121.0334453,2-A
14.5737314,121.0439146,2-A
14.5708455,121.0517138,2-A
14.5687934,121.0398477,2-A
14.5697887,121.0319634,2-A
14.576744,121.0505199,2-A
14.589911846708295,121.03476556376354,2-A
14.592139222348782,121.03009619212038,2-A
14.5900523,121.034587,2-A
14.5831364,121.0369289,2-A
14.5708217,121.0370659,3-A
14.5687934,121.0398477,3-A
14.576744,121.0505199,3-A
14.587320087428706,121.05637949673827,3-A
14.582451991399358,121.0421554050105,3-A
14.5737314,121.0439146,3-A
14.5731938,121.0520926,3-A
14.5814366,121.0536004,3-A
14.5760416,121.0554352,3-A
14.5708455,121.0517138,3-A
14.5708217,121.0370659,4-A
14.5687934,121.0398477,4-A
14.576744,121.0505199,4-A
14.587320087428706,121.05637949673827,4-A
14.582451991399358,121.0421554050105,4-A
14.5900523,121.034587,4-A
14.5901766,121.0440113,4-A
14.5814366,121.0536004,4-A
14.5760416,121.0554352,4-A
14.5708455,121.0517138,4-A
14.5960811,121.0544295,5-A
14.576744,121.0505199,5-A
14.587320087428706,121.05637949673827,5-A
14.5731938,121.0520926,5-A
14.5697887,121.0319634,5-A
14.582451991399358,121.0421554050105,5-A
14.5877549,121.0378461,5-A
14.5737314,121.0439146,6-A
14.5715834,121.0413973,6-A
14.5708455,121.0517138,6-A
14.576744,121.0505199,6-A
14.589911846708295,121.03476556376354,6-A
14.5687934,121.0398477,6-A
14.5731938,121.0520926,6-A
14.58684981695052,121.05649968410415,6-A
14.5737314,121.0439146,7-A
14.5715834,121.0413973,7-A
14.5877549,121.0378461,7-A
14.5731938,121.0520926,7-A
14.5697887,121.0319634,7-A
14.5687934,121.0398477,7-A
14.5708455,121.0517138,7-A
14.58684981695052,121.05649968410415,7-A
