lat,long,route id
14.5586312,121.0099518,0-A
14.5633873,121.0159345,0-A
14.5539292,121.0159252,0-A
14.555421552497045,121.03431884640105,0-A
14.5603359,121.0211932,0-A
14.551577,121.0203407,0-A
14.5551006,121.0140392,0-A
14.55975564110655,121.00696832681281,0-A
14.5611204,121.0200925,0-A
14.539191373901453,121.01588184480548,1-A
14.5486623,121.0250877,1-A
14.551577,121.0203407,1-A
14.562042828681054,121.03253965838117,1-A
14.568958126140021,121.01739429150729,1-A
14.56717320012712,121.004427757754,1-A
14.5539292,121.0159252,1-A
14.562388,121.046337,2-A
14.5617543,121.0154973,2-A
14.5620308,121.0218648,2-A
14.5613414,121.0277037,2-A
14.5643693,121.0146955,2-A
14.5740069,121.0252832,2-A
14.5667927,121.0119192,2-A
14.5547441,121.0225728,2-A
14.553234038989945,121.02523822797595,3-A
14.5515784,121.0125,3-A
14.5644429,121.0159961,3-A
14.5754256,121.0170629,3-A
14.5521922,121.0231685,3-A
14.5611204,121.0200925,3-A
14.5552586,121.0148692,3-A
14.560911665999464,121.00467151070119,3-A
14.5616343,121.004765,4-A
14.5612621,121.0207517,4-A
14.562658,121.0109771,4-A
14.5676923,121.0176295,4-A
14.5424127,121.0176793,4-A
14.5546541,121.0236767,4-A
14.566602,121.0130122,4-A
14.5633873,121.0159345,5-A
14.5514125,121.0209076,5-A
14.5439039,121.0283961,5-A
14.5522696,121.0153653,5-A
14.560452,121.0157318,5-A
14.564466255505689,121.00157663918974,5-A
14.570362658131147,121.0167673658408,5-A
14.570316891621843,121.01483479073728,6-A
14.574426492843132,121.01159944690711,6-A
14.5691551,121.0063012,6-A
14.563587315382595,121.00510368175277,6-A
14.5667927,121.0119192,6-A
14.5617543,121.0154973,6-A
14.5484836,121.0117429,6-A
14.56531,121.0298287,6-A
14.5740069,121.0252832,6-A
14.575580431919885,121.0177790166143,7-A
14.5673929,121.0317649,7-A
14.5526684,121.0044433,7-A
14.5581874,121.0082495,7-A
14.5664587,121.0065059,7-A
14.5610019,121.0143318,7-A
14.5624301,121.0196952,7-A
14.5603128,121.0300182,7-A
14.5562348,121.0208196,8-A
