lat,long,route id
14.573861234962239,121.04410332853168,0-A
14.5759174,121.04098,0-A
14.5764058,121.0385708,0-A
14.5764321,121.0350413,0-A
14.5783782,121.0328834,0-A
14.5812277,121.0295732,0-A
14.583836,121.0279164,0-A
14.5858082,121.0260623,0-A
14.5879788,121.0244278,0-A
14.5896103,121.0230968,0-A
14.574075465842425,121.04753632304073,1-A
14.573861234962239,121.04410332853168,1-A
14.5759174,121.04098,1-A
14.5764058,121.0385708,1-A
14.5764321,121.0350413,1-A
14.5783782,121.0328834,1-A
14.5812277,121.0295732,1-A
14.583836,121.0279164,1-A
14.5858082,121.0260623,1-A
14.5896103,121.0230968,1-A
14.592252498039999,121.02615496608276,2-A
14.5936528,121.0271396,2-A
14.5918832,121.0307336,2-A
14.590394453696,121.03402198423579,2-A
14.587336517307838,121.03529432643924,2-A
14.587526076847452,121.03768375431373,2-A
14.5876816,121.038936,2-A
14.5864006,121.0414991,2-A
14.5866635,121.0431014,2-A
14.5844389,121.0448566,2-A
14.5818608,121.044357,2-A
14.579586,121.0442819,2-A
14.5793097,121.0479417,2-A
14.595248202685754,121.02794988451397,3-A
14.592252498039999,121.02615496608276,3-A
14.5898595,121.0234368,3-A
14.5896103,121.0230968,3-A
14.5892572,121.0226804,3-A
14.5936528,121.0271396,4-A
14.5918832,121.0307336,4-A
14.590394453696,121.03402198423579,4-A
14.589615,121.035107,4-A
14.5894948,121.0381443,4-A
14.5890666,121.042054,4-A
14.5880832,121.0447182,4-A
14.5857391,121.0482877,4-A
14.5827006,121.0518726,4-A
14.592252498039999,121.02615496608276,5-A
14.591246261911325,121.02856400625444,5-A
14.590612268084206,121.03176599866293,5-A
14.588641817011947,121.0330387842526,5-A
14.589216392210496,121.02960866741233,5-A
14.589138976255532,121.02798868837145,5-A
14.588864462667601,121.02701446849709,5-A
14.588116110411901,121.02667376080738,5-A
14.586073302804673,121.02584217478088,5-A
14.583836,121.0279164,5-A
14.582305563305358,121.02872855512535,5-A
14.5812277,121.0295732,5-A
14.5783782,121.0328834,5-A
14.577940590227206,121.03293185585582,5-A
14.577013445149115,121.03295188205054,5-A
14.576561467162517,121.03341991854415,5-A
14.57661386188915,121.03463755321552,5-A
14.57639126558166,121.03493863117649,5-A
14.576345318898376,121.0386714106345,5-A
14.5759174,121.04098,5-A
14.573861234962239,121.04410332853168,5-A
14.5727342,121.0466784,5-A
14.569928,121.042787,6-A
14.5714802,121.0411324,6-A
14.569678,121.0380899,6-A
14.5694796,121.0361638,6-A
14.5680858,121.0336505,6-A
14.5700129,121.0316234,6-A
14.5718963,121.0296004,6-A
14.5733813,121.0278641,6-A
14.5766898,121.0273029,6-A
14.5790081,121.0279727,6-A
14.5818649,121.0291158,6-A
14.583836,121.0279164,6-A
14.586073302804673,121.02584217478088,6-A
14.5896103,121.0230968,6-A
14.592252498039999,121.02615496608276,6-A
14.573861234962239,121.04410332853168,7-A
14.5759174,121.04098,7-A
14.5764058,121.0385708,7-A
14.5764321,121.0350413,7-A
14.5783782,121.0328834,7-A
14.5812277,121.0295732,7-A
14.5837682,121.0306501,7-A
14.5861339,121.0319292,7-A
14.587336517307838,121.03529432643924,7-A
14.589615,121.035107,7-A
14.590394453696,121.03402198423579,7-A
14.5918832,121.0307336,7-A
14.5936528,121.0271396,7-A
14.574075465842425,121.04753632304073,7-A
