WKT,Coordinates,Route Name,Route Number,
POINT (121.0226744 14.5892503),14.5892503,121.0226744,Pier South - Sta Ana via P. Faura,132.0
POINT (121.0209123 14.5874816),14.5874816,121.0209123,Pier South - Sta Ana via P. Faura,132.0
POINT (121.0177839 14.5847214),14.5847214,121.0177839,Pier South - Sta Ana via P. Faura,132.0
POINT (121.0120084 14.5815395),14.5815395,121.0120084,Pier South - Sta Ana via P. Faura,132.0
POINT (121.0098094 14.5808027),14.5808027,121.0098094,Pier South - Sta Ana via P. Faura,132.0
POINT (121.0059362 14.5798108),14.5798108,121.0059362,Pier South - Sta Ana via P. Faura,132.0
POINT (121.0000123 14.5787355),14.5787355,121.0000123,Pier South - Sta Ana via P. Faura,132.0
POINT (120.9972079 14.5787974),14.5787974,120.9972079,Pier South - Sta Ana via P. Faura,132.0
POINT (120.993362 14.5782725),14.5782725,120.993362,Pier South - Sta Ana via P. Faura,132.0
POINT (120.9891062 14.5779871),14.5779871,120.9891062,Pier South - Sta Ana via P. Faura,132.0
POINT (120.9876666 14.5790713),14.5790713,120.9876666,Pier South - Sta Ana via P. Faura,132.0
POINT (120.983404 14.578515),14.578515,120.983404,Pier South - Sta Ana via P. Faura,132.0
POINT (120.9819376 14.5777231),14.5777231,120.9819376,Pier South - Sta Ana via P. Faura,132.0
POINT (120.9804973 14.5747492),14.5747492,120.9804973,Pier South - Sta Ana via P. Faura,132.0
POINT (120.98124 14.5733106),14.5733106,120.98124,Pier South - Sta Ana via P. Faura,132.0
POINT (120.9849393 14.5746641),14.5746641,120.9849393,Pier South - Sta Ana via P. Faura,132.0
POINT (121.0226711 14.5892537),14.5892537,121.0226711,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (121.020913 14.5874816),14.5874816,121.020913,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (121.0177785 14.5847097),14.5847097,121.0177785,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (121.0120111 14.5815246),14.5815246,121.0120111,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (121.0098101 14.5808046),14.5808046,121.0098101,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (121.0059369 14.5798167),14.5798167,121.0059369,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (121.0000123 14.5787349),14.5787349,121.0000123,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.9999702 14.5812836),14.5812836,120.9999702,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.9973424 14.5800243),14.5800243,120.9973424,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.9972062 14.5787958),14.5787958,120.9972062,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.993364 14.5782706),14.5782706,120.993364,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.9891056 14.5779871),14.5779871,120.9891056,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.9875346 14.580605),14.580605,120.9875346,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.9858308 14.5797887),14.5797887,120.9858308,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.9834026 14.5785176),14.5785176,120.9834026,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.9819369 14.5777224),14.5777224,120.9819369,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.9831194 14.5754649),14.5754649,120.9831194,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (120.9849407 14.5746615),14.5746615,120.9849407,San Andres Mkt-Sta. Ana via P. Faura/P Gil,133.0
POINT (121.0271396 14.5936528),14.5936528,121.0271396,EDSA/Shaw Central-Kalentong/JRC,134.0
POINT (121.0307953 14.5918598),14.5918598,121.0307953,EDSA/Shaw Central-Kalentong/JRC,134.0
POINT (121.0340224 14.5903939),14.5903939,121.0340224,EDSA/Shaw Central-Kalentong/JRC,134.0
POINT (121.035107 14.589615),14.589615,121.035107,EDSA/Shaw Central-Kalentong/JRC,134.0
POINT (121.0381443 14.5894948),14.5894948,121.0381443,EDSA/Shaw Central-Kalentong/JRC,134.0
POINT (121.042054 14.5890666),14.5890666,121.042054,EDSA/Shaw Central-Kalentong/JRC,134.0
POINT (121.0447182 14.5880832),14.5880832,121.0447182,EDSA/Shaw Central-Kalentong/JRC,134.0
POINT (121.0482877 14.5857391),14.5857391,121.0482877,EDSA/Shaw Central-Kalentong/JRC,134.0
POINT (121.0518726 14.5827006),14.5827006,121.0518726,EDSA/Shaw Central-Kalentong/JRC,134.0
POINT (121.02615496608276 14.592252498039999),14.592252498040000,121.02615496608300,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.02856400625444 14.591246261911325),14.591246261911300,121.02856400625400,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.03176599866293 14.590612268084206),14.590612268084200,121.03176599866300,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.0330387842526 14.588641817011947),14.588641817011900,121.0330387842530,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.02960866741233 14.589216392210496),14.589216392210500,121.02960866741200,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.02798868837145 14.589138976255532),14.589138976255500,121.02798868837100,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.02701446849709 14.588864462667601),14.588864462667600,121.02701446849700,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.02667376080738 14.588116110411901),14.588116110411900,121.02667376080700,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.02584217478088 14.586073302804673),14.586073302804700,121.02584217478100,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.0278460658747 14.58381829843762),14.58381829843760,121.0278460658750,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.02872855512535 14.582305563305358),14.582305563305400,121.02872855512500,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.02947811036769 14.58116402370912),14.58116402370910,121.02947811036800,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.0328132603508 14.578302340876125),14.578302340876100,121.0328132603510,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.03293185585582 14.577940590227206),14.577940590227200,121.03293185585600,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.03295188205054 14.577013445149115),14.577013445149100,121.03295188205100,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.03341991854415 14.576561467162517),14.576561467162500,121.03341991854400,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.03463755321552 14.57661386188915),14.57661386188920,121.03463755321600,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.03493863117649 14.57639126558166),14.57639126558170,121.03493863117600,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.0386714106345 14.576345318898376),14.576345318898400,121.0386714106350,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.04093222452012 14.575841685954682),14.575841685954700,121.04093222452000,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.04406778984489 14.573752553271314),14.573752553271300,121.04406778984500,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.0466784 14.5727342),14.5727342,121.0466784,Boni/Pinatubo-Kalentong/JRC,135.0
POINT (121.042787 14.569928),14.569928,121.042787,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0411324 14.5714802),14.5714802,121.0411324,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0380899 14.569678),14.569678,121.0380899,Kalentong-P Victorino via P Cruz,136.0
