WKT,Coordinates,Route Name,Route Number
"POINT (120.98276759522285 14.621077919235177)",14.621077919235177, 120.98276759522285,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9827085 14.6183931)",14.6183931, 120.9827085,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9826664 14.6162238)",14.6162238, 120.9826664,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98259047891476 14.61410472657679)",14.61410472657679, 120.98259047891476,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9824316 14.6112981)",14.6112981, 120.9824316,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9823283 14.6099727)",14.6099727, 120.9823283,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9819762 14.6053528)",14.6053528, 120.9819762,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9818996 14.6039282)",14.6039282, 120.9818996,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98167865416092 14.601495301204318)",14.601495301204318, 120.98167865416092,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98131457065709 14.600541168589597)",14.600541168589597, 120.98131457065709,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9805862 14.6002372)",14.6002372, 120.9805862,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.97999994512672 14.599304237803436)",14.599304237803436, 120.97999994512672,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.97891941748962 14.593810215661668)",14.593810215661668, 120.97891941748962,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98072265237596 14.589566167359779)",14.589566167359779, 120.98072265237596,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.97942440200234 14.585356809176995)",14.585356809176995, 120.97942440200234,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.97918137057505 14.584731674421356)",14.584731674421356, 120.97918137057505,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9803034 14.5834425)",14.5834425, 120.9803034,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.97880441300703 14.580415065215337)",14.580415065215337, 120.97880441300703,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9793214852537 14.579352558216636)",14.579352558216636, 120.9793214852537,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98035899268936 14.577183147786867)",14.577183147786867, 120.98035899268936,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98133043733772 14.575202986393725)",14.575202986393725, 120.98133043733772,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9820626692446 14.573697482470791)",14.573697482470791, 120.9820626692446,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98346216759352 14.570784232935843)",14.570784232935843, 120.98346216759352,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9840437 14.5696238)",14.5696238, 120.9840437,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98473107555797 14.568254422716748)",14.568254422716748, 120.98473107555797,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98572274591339 14.56618949313726)",14.56618949313726, 120.98572274591339,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98618609645214 14.565201284184917)",14.565201284184917, 120.98618609645214,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98822922449146 14.562483902547546)",14.562483902547546, 120.98822922449146,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98892945158418 14.561081714647035)",14.561081714647035, 120.98892945158418,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (121.00012986095187 14.59930310353591)",14.59930310353591, 121.00012986095187,Nagtahan Rotonda-Pandacan,19.0
"POINT (120.9999881408186 14.601023547552431)",14.601023547552431, 120.9999881408186,Nagtahan Rotonda-Pandacan,19.0
"POINT (121.00926609404715 14.602164488407023)",14.602164488407023, 121.00926609404715,Nagtahan Rotonda-Pandacan,19.0
"POINT (121.0463869 14.5666967)",14.5666967, 121.0463869,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0465418 14.5670201)",14.5670201, 121.0465418,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0466359 14.5673885)",14.5673885, 121.0466359,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0442375 14.568139)",14.568139, 121.0442375,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0414413 14.5674225)",14.5674225, 121.0414413,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0379115 14.5670824)",14.5670824, 121.0379115,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0349644 14.5668365)",14.5668365, 121.0349644,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0349857 14.5666463)",14.5666463, 121.0349857,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.032124 14.5673397)",14.5673397, 121.032124,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0296725 14.5678699)",14.5678699, 121.0296725,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.026757 14.5690006)",14.5690006, 121.026757,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0229973 14.5700204)",14.5700204, 121.0229973,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0208314 14.5706031)",14.5706031, 121.0208314,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0179238 14.5712657)",14.5712657, 121.0179238,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0157888 14.5717512)",14.5717512, 121.0157888,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0156311 14.5718751)",14.5718751, 121.0156311,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0138035 14.5725714)",14.5725714, 121.0138035,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0129682 14.5740015)",14.5740015, 121.0129682,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0059362 14.5798107)",14.5798107, 121.0059362,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0000513 14.5787321)",14.5787321, 121.0000513,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.9973404 14.5800636)",14.5800636, 120.9973404,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.9972906 14.5787862)",14.5787862, 120.9972906,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.9933935 14.5782815)",14.5782815, 120.9933935,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.9907102 14.5771503)",14.5771503, 120.9907102,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.9898778 14.5766047)",14.5766047, 120.9898778,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.022676 14.5892566)",14.5892566, 121.022676,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (121.0209103 14.5874446)",14.5874446, 121.0209103,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
