WKT,Coordinates,Route Name,Route Number
"POINT (120.9659107 14.6270379)",14.6270379, 120.9659107,Divisoria-Navotas via H. Lopez,56.0
"POINT (120.9678759 14.624194)",14.624194, 120.9678759,Divisoria-Navotas via H. Lopez,56.0
"POINT (120.9700027 14.6231422)",14.6231422, 120.9700027,Divisoria-Navotas via H. Lopez,56.0
"POINT (120.9720796 14.6221297)",14.6221297, 120.9720796,Divisoria-Navotas via H. Lopez,56.0
"POINT (120.9715409 14.6201602)",14.6201602, 120.9715409,Divisoria-Navotas via H. Lopez,56.0
"POINT (120.9708227 14.6183276)",14.6183276, 120.9708227,Divisoria-Navotas via H. Lopez,56.0
"POINT (120.9676195 14.6091324)",14.6091324, 120.9676195,Divisoria-Navotas via H. Lopez,56.0
"POINT (120.9673681 14.6083874)",14.6083874, 120.9673681,Divisoria-Navotas via H. Lopez,56.0
"POINT (120.9674539 14.6070353)",14.6070353, 120.9674539,Divisoria-Navotas via H. Lopez,56.0
"POINT (120.9812376 14.5936885)",14.5936885, 120.9812376,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9843709 14.5995115)",14.5995115, 120.9843709,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.985904 14.6069701)",14.6069701, 120.985904,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9861737 14.6094589)",14.6094589, 120.9861737,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9863159 14.6113088)",14.6113088, 120.9863159,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9871328 14.6124802)",14.6124802, 120.9871328,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9890821 14.6143716)",14.6143716, 120.9890821,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9910609 14.6161751)",14.6161751, 120.9910609,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9926978 14.6176595)",14.6176595, 120.9926978,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9940529 14.6188853)",14.6188853, 120.9940529,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9960259 14.6206994)",14.6206994, 120.9960259,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9983339 14.622797)",14.622797, 120.9983339,Arroceros-Dapitan via Andalucia,57.0
"POINT (120.9735559 14.6067976)",14.6067976, 120.9735559,Divisoria-Malinta via Jose Abad Santos,58.0
"POINT (120.9739032 14.6094788)",14.6094788, 120.9739032,Divisoria-Malinta via Jose Abad Santos,58.0
"POINT (120.9751135 14.6103639)",14.6103639, 120.9751135,Divisoria-Malinta via Jose Abad Santos,58.0
