WKT,Coordinates,Route Name,Route Number
"POINT (120.96966618604112 14.606395466500851)",14.606395466500851, 120.96966618604112,Divisoria-Gasak,1.0
"POINT (120.9692348 14.6080217)",14.6080217, 120.9692348,Divisoria-Gasak,1.0
"POINT (120.9691538 14.6098745)",14.6098745, 120.9691538,Divisoria-Gasak,1.0
"POINT (120.9695782720862 14.611930545404741)",14.611930545404741, 120.9695782720862,Divisoria-Gasak,1.0
"POINT (120.9706054 14.6173484)",14.6173484, 120.9706054,Divisoria-Gasak,1.0
"POINT (120.9716972873678 14.620401558822302)",14.620401558822302, 120.9716972873678,Divisoria-Gasak,1.0
"POINT (120.97216438141064 14.621942127885372)",14.621942127885372, 120.97216438141064,Divisoria-Gasak,1.0
"POINT (120.9718269727091 14.622261284870302)",14.622261284870302, 120.9718269727091,Divisoria-Gasak,1.0
"POINT (120.96994251223445 14.62320119209131)",14.62320119209131, 120.96994251223445,Divisoria-Gasak,1.0
"POINT (120.96776612517833 14.624274391746921)",14.624274391746921, 120.96776612517833,Divisoria-Gasak,1.0
"POINT (120.9658527354295 14.627183913568736)",14.627183913568736, 120.9658527354295,Divisoria-Gasak,1.0
"POINT (120.96468403466973 14.629751788222212)",14.629751788222212, 120.96468403466973,Divisoria-Gasak,1.0
"POINT (120.96357442947443 14.632156341760455)",14.632156341760455, 120.96357442947443,Divisoria-Gasak,1.0
"POINT (120.95998480027865 14.637463972343642)",14.637463972343642, 120.95998480027865,Divisoria-Gasak,1.0
"POINT (120.95621077109779 14.6412984282225)",14.6412984282225, 120.95621077109779,Divisoria-Gasak,1.0
"POINT (120.9547918 14.6431548)",14.6431548, 120.9547918,Divisoria-Gasak,1.0
"POINT (120.9668259 14.6018471)",14.6018471, 120.9668259,Divisoria-San Juan,2.0
"POINT (120.9682455 14.6034131)",14.6034131, 120.9682455,Divisoria-San Juan,2.0
"POINT (120.9699123 14.6052794)",14.6052794, 120.9699123,Divisoria-San Juan,2.0
"POINT (120.9715151 14.6060745)",14.6060745, 120.9715151,Divisoria-San Juan,2.0
"POINT (120.9728145 14.6063697)",14.6063697, 120.9728145,Divisoria-San Juan,2.0
"POINT (120.9752331 14.6058618)",14.6058618, 120.9752331,Divisoria-San Juan,2.0
"POINT (120.9766463 14.6053231)",14.6053231, 120.9766463,Divisoria-San Juan,2.0
"POINT (120.9796486 14.604157)",14.604157, 120.9796486,Divisoria-San Juan,2.0
"POINT (120.9831646 14.6034644)",14.6034644, 120.9831646,Divisoria-San Juan,2.0
"POINT (120.9839194 14.6033788)",14.6033788, 120.9839194,Divisoria-San Juan,2.0
"POINT (120.9869885 14.60218)",14.60218, 120.9869885,Divisoria-San Juan,2.0
"POINT (120.9930579 14.6014633)",14.6014633, 120.9930579,Divisoria-San Juan,2.0
"POINT (120.9948056 14.6008833)",14.6008833, 120.9948056,Divisoria-San Juan,2.0
"POINT (121.003227 14.6014874)",14.6014874, 121.003227,Divisoria-San Juan,2.0
"POINT (121.0046939 14.6015875)",14.6015875, 121.0046939,Divisoria-San Juan,2.0
