WKT,Coordinates,Route Name,Route Number
"POINT (120.9889930132814 14.571727254601159)",14.571727254601159, 120.9889930132814,Frisco-Remedios,69.0
"POINT (120.99079419593771 14.573481665036754)",14.573481665036754, 120.99079419593771,Frisco-Remedios,69.0
"POINT (120.98917944125597 14.576366278411703)",14.576366278411703, 120.98917944125597,Frisco-Remedios,69.0
"POINT (120.98752811307241 14.579058325442103)",14.579058325442103, 120.98752811307241,Frisco-Remedios,69.0
"POINT (120.9861329202502 14.58010159004825)",14.58010159004825, 120.9861329202502,Frisco-Remedios,69.0
"POINT (120.98493981830174 14.58220854628318)",14.58220854628318, 120.98493981830174,Frisco-Remedios,69.0
"POINT (120.98392224431427 14.583974519417286)",14.583974519417286, 120.98392224431427,Frisco-Remedios,69.0
"POINT (120.98284674458003 14.585931324886602)",14.585931324886602, 120.98284674458003,Frisco-Remedios,69.0
"POINT (120.98241053758443 14.586716840306872)",14.586716840306872, 120.98241053758443,Frisco-Remedios,69.0
"POINT (120.98092703932538 14.589982073589297)",14.589982073589297, 120.98092703932538,Frisco-Remedios,69.0
"POINT (120.98072906577005 14.590708812912318)",14.590708812912318, 120.98072906577005,Frisco-Remedios,69.0
"POINT (120.9799679 14.5930479)",14.5930479, 120.9799679,Frisco-Remedios,69.0
"POINT (120.9802629281086 14.595709403411988)",14.595709403411988, 120.9802629281086,Frisco-Remedios,69.0
"POINT (120.98138207670597 14.598997858868868)",14.598997858868868, 120.98138207670597,Frisco-Remedios,69.0
"POINT (120.9817797468684 14.601533195360496)",14.601533195360496, 120.9817797468684,Frisco-Remedios,69.0
"POINT (120.9819647813442 14.603348060457373)",14.603348060457373, 120.9819647813442,Frisco-Remedios,69.0
"POINT (120.98209163801795 14.60543071006423)",14.60543071006423, 120.98209163801795,Frisco-Remedios,69.0
"POINT (120.98226552634888 14.607510066467773)",14.607510066467773, 120.98226552634888,Frisco-Remedios,69.0
"POINT (120.98254639923472 14.611132176055222)",14.611132176055222, 120.98254639923472,Frisco-Remedios,69.0
"POINT (120.98273051737327 14.614057386243806)",14.614057386243806, 120.98273051737327,Frisco-Remedios,69.0
"POINT (120.9828041981066 14.616348893718557)",14.616348893718557, 120.9828041981066,Frisco-Remedios,69.0
"POINT (120.98285482979749 14.618441885741744)",14.618441885741744, 120.98285482979749,Frisco-Remedios,69.0
"POINT (120.98288177645807 14.620988290259755)",14.620988290259755, 120.98288177645807,Frisco-Remedios,69.0
"POINT (120.98207263416386 14.582365235272281)",14.582365235272281, 120.98207263416386,Murphy-TM Kalaw via E. Rodriguez,70.0
"POINT (120.98365965649893 14.583351842573084)",14.583351842573084, 120.98365965649893,Murphy-TM Kalaw via E. Rodriguez,70.0
"POINT (120.9837635001102 14.584223519332674)",14.584223519332674, 120.9837635001102,Murphy-TM Kalaw via E. Rodriguez,70.0
"POINT (120.98292168921154 14.58578077439377)",14.58578077439377, 120.98292168921154,Murphy-TM Kalaw via E. Rodriguez,70.0
"POINT (120.98241053758443 14.586716840306872)",14.586716840306872, 120.98241053758443,Murphy-TM Kalaw via E. Rodriguez,70.0
"POINT (120.98094760196128 14.589859409200228)",14.589859409200228, 120.98094760196128,Murphy-TM Kalaw via E. Rodriguez,70.0
"POINT (120.98072906577005 14.590708812912318)",14.590708812912318, 120.98072906577005,Murphy-TM Kalaw via E. Rodriguez,70.0
"POINT (120.9801601 14.5930604)",14.5930604, 120.9801601,Murphy-TM Kalaw via E. Rodriguez,70.0
"POINT (120.98436887801367 14.599520648512929)",14.599520648512929, 120.98436887801367,Murphy-TM Kalaw via E. Rodriguez,70.0
"POINT (120.9872533 14.6051227)",14.6051227, 120.9872533,Murphy-TM Kalaw via E. Rodriguez,70.0
