WKT,Coordinates,Route Name,Route Number,,,
POINT (120.98441 14.61279),14.61279,120.98441,Navotas-Recto via Dagat Dagatan, C3, C4,39
POINT (120.9843 14.61127),14.61127,120.9843,Navotas-Recto via Dagat Dagatan, C3, C4,39
POINT (120.98417 14.60943),14.60943,120.98417,Navotas-Recto via Dagat Dagatan, C3, C4,39
POINT (120.98399 14.60765),14.60765,120.98399,Navotas-Recto via Dagat Dagatan, C3, C4,39
POINT (120.98578 14.60717),14.60717,120.98578,Navotas-Recto via Dagat Dagatan, C3, C4,39
POINT (120.9846 14.60338),14.60338,120.9846,Navotas-Recto via Dagat Dagatan, C3, C4,39
POINT (120.99225 14.57861),14.57861,120.99225,Pandacan - Pier South,40,,
POINT (120.9876 14.58061),14.58061,120.9876,Pandacan - Pier South,40,,
POINT (120.98587 14.5798),14.5798,120.98587,Pandacan - Pier South,40,,
POINT (120.98332 14.57846),14.57846,120.98332,Pandacan - Pier South,40,,
POINT (120.98112 14.58223),14.58223,120.98112,Pandacan - Pier South,40,,
POINT (120.9805 14.58334),14.58334,120.9805,Pandacan - Pier South,40,,
POINT (120.97832 14.58579),14.58579,120.97832,Pandacan - Pier South,40,,
POINT (120.97823 14.58461),14.58461,120.97823,Pandacan - Pier South,40,,
POINT (120.97536 14.58337),14.58337,120.97536,Pandacan - Pier South,40,,
POINT (120.97466 14.58475),14.58475,120.97466,Pandacan - Pier South,40,,
POINT (120.97409 14.5857),14.5857,120.97409,Pandacan - Pier South,40,,
POINT (120.97266 14.58812),14.58812,120.97266,Pandacan - Pier South,40,,
POINT (120.97163 14.58973),14.58973,120.97163,Pandacan - Pier South,40,,
POINT (120.97078 14.59126),14.59126,120.97078,Pandacan - Pier South,40,,
POINT (120.98072 14.58987),14.58987,120.98072,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.9793 14.58533),14.58533,120.9793,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.97831 14.58581),14.58581,120.97831,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.97926 14.58469),14.58469,120.97926,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.98037 14.58334),14.58334,120.98037,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
