WKT,Coordinates,Route Name,Route Number,,,
POINT (120.9801603 14.5930601),14.5930601,120.9801603,Arroceros-Project 7 via Espana,75,,
POINT (120.9843696 14.5995203),14.5995203,120.9843696,Arroceros-Project 7 via Espana,75,,
POINT (120.9872543 14.605122),14.605122,120.9872543,Arroceros-Project 7 via Espana,75,,
POINT (120.9935623 14.6104039),14.6104039,120.9935623,Arroceros-Project 7 via Espana,75,,
POINT (120.9996074 14.6158903),14.6158903,120.9996074,Arroceros-Project 7 via Espana,75,,
POINT (121.0052736 14.6208799),14.6208799,121.0052736,Arroceros-Project 7 via Espana,75,,
POINT (120.9809378 14.5899079),14.5899079,120.9809378,Arroceros-Project 8 via Espana,24,,
POINT (120.9843679 14.5995169),14.5995169,120.9843679,Arroceros-Project 8 via Espana,24,,
POINT (120.987312 14.6051394),14.6051394,120.987312,Arroceros-Project 8 via Espana,24,,
POINT (120.9896486 14.6067219),14.6067219,120.9896486,Arroceros-Project 8 via Espana,24,,
POINT (120.9916445 14.6085047),14.6085047,120.9916445,Arroceros-Project 8 via Espana,24,,
POINT (120.99268392671698 14.609531147394394),14.60953115,120.9926839,Arroceros-Project 8 via Espana,24,,
POINT (120.9935419826888 14.610392096498225),14.6103921,120.993542,Arroceros-Project 8 via Espana,24,,
POINT (120.99537287166517 14.61205768651877),14.61205769,120.9953729,Arroceros-Project 8 via Espana,24,,
POINT (120.99750738775212 14.613997187210181),14.61399719,120.9975074,Arroceros-Project 8 via Espana,24,,
POINT (120.9995563169397 14.615837682995476),14.61583768,120.9995563,Arroceros-Project 8 via Espana,24,,
POINT (121.0012142 14.6173599),14.6173599,121.0012142,Arroceros-Project 8 via Espana,24,,
POINT (120.9888954 14.6183875),14.6183875,120.9888954,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9888657 14.6175853),14.6175853,120.9888657,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9881964 14.6135073),14.6135073,120.9881964,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9870846 14.6125574),14.6125574,120.9870846,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9862153 14.6115586),14.6115586,120.9862153,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9860617 14.6092285),14.6092285,120.9860617,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9857796 14.6070863),14.6070863,120.9857796,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9845938 14.6013086),14.6013086,120.9845938,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9842422 14.5996102),14.5996102,120.9842422,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.980531 14.5946322),14.5946322,120.980531,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9806789 14.5899324),14.5899324,120.9806789,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.979436 14.5853496),14.5853496,120.979436,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9783352 14.5845044),14.5845044,120.9783352,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9802951 14.5834513),14.5834513,120.9802951,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9788077 14.5804162),14.5804162,120.9788077,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.979325 14.5793588),14.5793588,120.979325,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9803668 14.5771521),14.5771521,120.9803668,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9813704 14.5750686),14.5750686,120.9813704,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9820543 14.5736848),14.5736848,120.9820543,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9834594 14.5707831),14.5707831,120.9834594,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9840405 14.5696293),14.5696293,120.9840405,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.986832 14.5688834),14.5688834,120.986832,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9881753 14.5665023),14.5665023,120.9881753,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9907637 14.5637717),14.5637717,120.9907637,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9911603 14.5630313),14.5630313,120.9911603,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9921071 14.5612489),14.5612489,120.9921071,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9930049 14.5596316),14.5596316,120.9930049,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9938507 14.5564652),14.5564652,120.9938507,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9918968 14.5533675),14.5533675,120.9918968,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.992233 14.5523051),14.5523051,120.992233,Baclaran-Blumentritt (via Mabini & Quiapo),31,,
POINT (120.9940943 14.5650884),14.5650884,120.9940943,Baclaran-Dapitan,102,,
POINT (120.9931991 14.5669971),14.5669971,120.9931991,Baclaran-Dapitan,102,,
POINT (120.9918202 14.5699111),14.5699111,120.9918202,Baclaran-Dapitan,102,,
POINT (120.9913588 14.5708223),14.5708223,120.9913588,Baclaran-Dapitan,102,,
POINT (120.9892455 14.5745929),14.5745929,120.9892455,Baclaran-Dapitan,102,,
POINT (120.9886206 14.5757109),14.5757109,120.9886206,Baclaran-Dapitan,102,,
POINT (120.9882381 14.5763664),14.5763664,120.9882381,Baclaran-Dapitan,102,,
POINT (120.9860782 14.5801119),14.5801119,120.9860782,Baclaran-Dapitan,102,,
POINT (120.984948 14.5821468),14.5821468,120.984948,Baclaran-Dapitan,102,,
POINT (120.9837913 14.5841615),14.5841615,120.9837913,Baclaran-Dapitan,102,,
POINT (120.9828622 14.5858676),14.5858676,120.9828622,Baclaran-Dapitan,102,,
POINT (120.9824347 14.5866141),14.5866141,120.9824347,Baclaran-Dapitan,102,,
POINT (120.9809351 14.5899187),14.5899187,120.9809351,Baclaran-Dapitan,102,,
POINT (120.98069 14.5907647),14.5907647,120.98069,Baclaran-Dapitan,102,,
POINT (120.9801597 14.5930594),14.5930594,120.9801597,Baclaran-Dapitan,102,,
POINT (120.9843736 14.5995167),14.5995167,120.9843736,Baclaran-Dapitan,102,,
POINT (120.9859067 14.6069701),14.6069701,120.9859067,Baclaran-Dapitan,102,,
POINT (120.9861737 14.6094653),14.6094653,120.9861737,Baclaran-Dapitan,102,,
POINT (120.9871301 14.6124802),14.6124802,120.9871301,Baclaran-Dapitan,102,,
POINT (120.9890788 14.6143709),14.6143709,120.9890788,Baclaran-Dapitan,102,,
POINT (120.9910589 14.6161712),14.6161712,120.9910589,Baclaran-Dapitan,102,,
POINT (120.9926965 14.6176633),14.6176633,120.9926965,Baclaran-Dapitan,102,,
POINT (120.9940503 14.6188847),14.6188847,120.9940503,Baclaran-Dapitan,102,,
POINT (120.9960252 14.6207001),14.6207001,120.9960252,Baclaran-Dapitan,102,,
POINT (120.9983353 14.6227957),14.6227957,120.9983353,Baclaran-Dapitan,102,,
POINT (120.994106 14.5650725),14.5650725,120.994106,Baclaran-Divisoria via Taft,103,,
POINT (120.9932813 14.5668147),14.5668147,120.9932813,Baclaran-Divisoria via Taft,103,,
POINT (120.9918648 14.5698274),14.5698274,120.9918648,Baclaran-Divisoria via Taft,103,,
POINT (120.9913732 14.5708119),14.5708119,120.9913732,Baclaran-Divisoria via Taft,103,,
POINT (120.9893079 14.5744896),14.5744896,120.9893079,Baclaran-Divisoria via Taft,103,,
POINT (120.9885656 14.5758057),14.5758057,120.9885656,Baclaran-Divisoria via Taft,103,,
POINT (120.9882072 14.5764112),14.5764112,120.9882072,Baclaran-Divisoria via Taft,103,,
POINT (120.986093 14.5800834),14.5800834,120.986093,Baclaran-Divisoria via Taft,103,,
POINT (120.9849316 14.5820338),14.5820338,120.9849316,Baclaran-Divisoria via Taft,103,,
