WKT,Coordinates,Route Name,Route Number
"POINT (120.98052 14.6079281)",14.6079281, 120.98052,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9805923 14.6089233)",14.6089233, 120.9805923,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9807621 14.611079)",14.611079, 120.9807621,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9799979 14.6132642)",14.6132642, 120.9799979,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9786892 14.6133497)",14.6133497, 120.9786892,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.976776 14.613837)",14.613837, 120.976776,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9752564 14.6142726)",14.6142726, 120.9752564,A. Rivera-Raon via Severino Reyes,170.0
"POINT (121.0085011 14.6122218)",14.6122218, 121.0085011,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (121.0068169 14.612377)",14.612377, 121.0068169,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (121.0049752 14.6108223)",14.6108223, 121.0049752,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (121.0038007 14.6089548)",14.6089548, 121.0038007,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (121.0029857 14.6068629)",14.6068629, 121.0029857,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (121.0010592 14.6057027)",14.6057027, 121.0010592,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (120.9990878 14.6044666)",14.6044666, 120.9990878,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (120.9964296 14.6059889)",14.6059889, 120.9964296,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (120.9951616 14.6073483)",14.6073483, 120.9951616,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (120.9944067 14.6070615)",14.6070615, 120.9944067,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (120.9938307 14.6065385)",14.6065385, 120.9938307,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (120.9950451 14.6029165)",14.6029165, 120.9950451,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (120.9931645 14.6014425)",14.6014425, 120.9931645,Balic-Balic-Bustillos via G. Tuazon,171.0
"POINT (120.9950326 14.6116646)",14.6116646, 120.9950326,Balic-Balic-España/M. Dela Fuente,172.0
"POINT (120.9968769 14.6098476)",14.6098476, 120.9968769,Balic-Balic-España/M. Dela Fuente,172.0
"POINT (120.9989578 14.6076905)",14.6076905, 120.9989578,Balic-Balic-España/M. Dela Fuente,172.0
"POINT (121.0010585 14.6057014)",14.6057014, 121.0010585,Balic-Balic-España/M. Dela Fuente,172.0
"POINT (121.0029884 14.6068603)",14.6068603, 121.0029884,Balic-Balic-España/M. Dela Fuente,172.0
"POINT (121.0038017 14.6089551)",14.6089551, 121.0038017,Balic-Balic-España/M. Dela Fuente,172.0
"POINT (121.0047134 14.6105426)",14.6105426, 121.0047134,Balic-Balic-España/M. Dela Fuente,172.0
"POINT (121.0068163 14.6123764)",14.6123764, 121.0068163,Balic-Balic-España/M. Dela Fuente,172.0
"POINT (121.0085018 14.6122225)",14.6122225, 121.0085018,Balic-Balic-España/M. Dela Fuente,172.0
"POINT (120.9646747 14.6297451)",14.6297451, 120.9646747,Blumentritt-Balut,173.0
"POINT (120.9658948 14.6270596)",14.6270596, 120.9658948,Blumentritt-Balut,173.0
"POINT (120.967898 14.6241833)",14.6241833, 120.967898,Blumentritt-Balut,173.0
"POINT (120.972092 14.6221244)",14.6221244, 120.972092,Blumentritt-Balut,173.0
"POINT (120.9730749 14.6254457)",14.6254457, 120.9730749,Blumentritt-Balut,173.0
"POINT (120.9827931 14.6208895)",14.6208895, 120.9827931,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9827211 14.6184172)",14.6184172, 120.9827211,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9826634 14.6162527)",14.6162527, 120.9826634,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9825947 14.613958)",14.613958, 120.9825947,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9824372 14.6112842)",14.6112842, 120.9824372,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9823292 14.6099608)",14.6099608, 120.9823292,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9819908 14.6055119)",14.6055119, 120.9819908,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.98166 14.6013375)",14.6013375, 120.98166,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9806197 14.6002525)",14.6002525, 120.9806197,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9800327 14.5992602)",14.5992602, 120.9800327,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9789202 14.5937615)",14.5937615, 120.9789202,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9809468 14.5898779)",14.5898779, 120.9809468,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9827147 14.5858154)",14.5858154, 120.9827147,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9836719 14.5840924)",14.5840924, 120.9836719,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9862052 14.5796031)",14.5796031, 120.9862052,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9880771 14.5763392)",14.5763392, 120.9880771,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9890912 14.5745626)",14.5745626, 120.9890912,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9917818 14.5696807)",14.5696807, 120.9917818,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9931432 14.5667852)",14.5667852, 120.9931432,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9939648 14.5650209)",14.5650209, 120.9939648,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9948472 14.5631521)",14.5631521, 120.9948472,Baclaran-Blumentritt via L Guinto & Sta Cruz,174.0
"POINT (120.9735593 14.6068495)",14.6068495, 120.9735593,Blumentritt-North Harbor,175.0
"POINT (120.973917 14.6095284)",14.6095284, 120.973917,Blumentritt-North Harbor,175.0
"POINT (120.9750934 14.6103651)",14.6103651, 120.9750934,Blumentritt-North Harbor,175.0
"POINT (120.9761744 14.6112152)",14.6112152, 120.9761744,Blumentritt-North Harbor,175.0
"POINT (120.9764067 14.6124595)",14.6124595, 120.9764067,Blumentritt-North Harbor,175.0
"POINT (120.9767703 14.6140615)",14.6140615, 120.9767703,Blumentritt-North Harbor,175.0
"POINT (120.9770242 14.615046)",14.615046, 120.9770242,Blumentritt-North Harbor,175.0
"POINT (120.9788724 14.6166)",14.6166, 120.9788724,Blumentritt-North Harbor,175.0
"POINT (120.9816278 14.6167188)",14.6167188, 120.9816278,Blumentritt-North Harbor,175.0
"POINT (120.9818682 14.6192931)",14.6192931, 120.9818682,Blumentritt-North Harbor,175.0
"POINT (120.9818766 14.6205712)",14.6205712, 120.9818766,Blumentritt-North Harbor,175.0
"POINT (120.9752626 14.6058566)",14.6058566, 120.9752626,Divisoria-Gastambide,176.0
"POINT (120.9767676 14.6052737)",14.6052737, 120.9767676,Divisoria-Gastambide,176.0
"POINT (120.9796463 14.6041554)",14.6041554, 120.9796463,Divisoria-Gastambide,176.0
"POINT (120.9830805 14.6034732)",14.6034732, 120.9830805,Divisoria-Gastambide,176.0
"POINT (120.9840019 14.603356)",14.603356, 120.9840019,Divisoria-Gastambide,176.0
"POINT (120.985482 14.6028736)",14.6028736, 120.985482,Divisoria-Gastambide,176.0
"POINT (120.9870082 14.6021669)",14.6021669, 120.9870082,Divisoria-Gastambide,176.0
"POINT (120.987488 14.6031962)",14.6031962, 120.987488,Divisoria-Gastambide,176.0
"POINT (120.9876946 14.6039923)",14.6039923, 120.9876946,Divisoria-Gastambide,176.0
"POINT (120.9879642 14.6050594)",14.6050594, 120.9879642,Divisoria-Gastambide,176.0
