WKT,Coordinates,Route Name,Route Number,,
POINT (121.05183 14.56251),14.56251,121.05183,AFP/PNP Housing-Guadalupe via Bayani Rd,143,
POINT (121.04182 14.52875),14.52875,121.04182,AFP/PNP Housing-Guadalupe via Bayani Rd,143,
POINT (121.04267 14.52675),14.52675,121.04267,AFP/PNP Housing-Guadalupe via Bayani Rd,143,
POINT (121.04367 14.52519),14.52519,121.04367,AFP/PNP Housing-Guadalupe via Bayani Rd,143,
POINT (121.04374 14.52527),14.52527,121.04374,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04275 14.52674),14.52674,121.04275,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04192 14.52876),14.52876,121.04192,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.05256 14.54725),14.54725,121.05256,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.05509 14.54923),14.54923,121.05509,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.0532179 14.5515597),14.5515597,121.0532179,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.05717 14.55274),14.55274,121.05717,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.05845 14.55587),14.55587,121.05845,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.05801 14.55823),14.55823,121.05801,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.05545 14.55862),14.55862,121.05545,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.05439 14.56211),14.56211,121.05439,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.05184 14.56261),14.56261,121.05184,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04889 14.56112),14.56112,121.04889,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04753 14.55991),14.55991,121.04753,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04626 14.55955),14.55955,121.04626,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04631 14.56),14.56,121.04631,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04635 14.56084),14.56084,121.04635,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04638 14.56172),14.56172,121.04638,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04638 14.56197),14.56197,121.04638,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04631 14.56247),14.56247,121.04631,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04605 14.56333),14.56333,121.04605,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.04567 14.56398),14.56398,121.04567,AFP/PNP (Taguig)-Guadalupe (ABC) via M. Asun,144,
POINT (121.0241 14.55178),14.55178,121.0241,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
